onset	duration	label	type	connector	trial	session	missing_timing_data	classification	comments
0	0	ecog_101		0	86	4	0		
0	0	ecog_102		0	1	1	0		
0	0	ecog_102		0	2	1	0		
0	0	ecog_102		0	3	1	0		
0	0	ecog_102		0	4	1	0		
0	0	ecog_102		0	5	1	0		
0	0	ecog_102		0	6	1	0		
0	0	ecog_102		0	7	1	0		
0	0	ecog_102		0	8	1	0		
0	0	ecog_102		0	9	1	0		
0	0	ecog_102		0	10	1	0		
0	0	ecog_102		0	11	1	0		
0	0	ecog_102		0	12	1	0		
0	0	ecog_102		0	13	1	0		
0	0	ecog_102		0	14	1	0		
0	0	ecog_102		0	15	1	0		
0	0	ecog_102		0	16	1	0		
0	0	ecog_102		0	17	1	0		
0	0	ecog_102		0	18	1	0		
0	0	ecog_102		0	19	1	0		
0	0	ecog_102		0	20	1	0		
0	0	ecog_102		0	21	1	0		
0	0	ecog_102		0	22	1	0		
0	0	ecog_102		0	23	1	0		
0	0	ecog_102		0	24	1	0		
0	0	ecog_102		0	25	1	0		
0	0	ecog_102		0	26	1	0		
0	0	ecog_102		0	27	1	0		
0	0	ecog_102		0	28	1	0		
0	0	ecog_102		0	29	1	0		
0	0	ecog_102		0	30	1	0		
0	0	ecog_102		0	31	1	0		
0	0	ecog_102		0	32	1	0		
0	0	ecog_102		0	33	1	0		
0	0	ecog_102		0	34	1	0		
0	0	ecog_102		0	35	1	0		
0	0	ecog_102		0	36	1	0		
0	0	ecog_102		0	37	1	0		
0	0	ecog_102		0	38	1	0		
0	0	ecog_102		0	39	1	0		
0	0	ecog_102		0	40	1	0		
0	0	ecog_102		0	41	1	0		
0	0	ecog_102		0	42	1	0		
0	0	ecog_102		0	43	1	0		
0	0	ecog_102		0	44	1	0		
0	0	ecog_102		0	45	1	0		
0	0	ecog_102		0	46	1	0		
0	0	ecog_102		0	47	1	0		
0	0	ecog_102		0	48	1	0		
0	0	ecog_102		0	49	1	0		
0	0	ecog_102		0	50	1	0		
0	0	ecog_102		0	51	1	0		
0	0	ecog_102		0	52	1	0		
0	0	ecog_102		0	53	1	0		
0	0	ecog_102		0	54	1	0		
0	0	ecog_102		0	55	1	0		
0	0	ecog_102		0	56	1	0		
0	0	ecog_102		0	57	1	0		
0	0	ecog_102		0	58	1	0		
0	0	ecog_102		0	59	1	0		
0	0	ecog_102		0	60	1	0		
0	0	ecog_102		0	61	1	0		
0	0	ecog_102		0	62	1	0		
0	0	ecog_102		0	63	1	0		
0	0	ecog_102		0	64	1	0		
0	0	ecog_102		0	65	1	0		
0	0	ecog_102		0	66	1	0		
0	0	ecog_102		0	67	1	0		
0	0	ecog_102		0	68	1	0		
0	0	ecog_102		0	69	1	0		
0	0	ecog_102		0	70	1	0		
0	0	ecog_102		0	71	1	0		
0	0	ecog_102		0	72	1	0		
0	0	ecog_102		0	73	1	0		
0	0	ecog_102		0	74	1	0		
0	0	ecog_102		0	75	1	0		
0	0	ecog_102		0	76	1	0		
0	0	ecog_102		0	77	1	0		
0	0	ecog_102		0	78	1	0		
0	0	ecog_102		0	79	1	0		
0	0	ecog_102		0	80	1	0		
0	0	ecog_102		0	1	2	0		
0	0	ecog_102		0	2	2	0		
0	0	ecog_102		0	3	2	0		
0	0	ecog_102		0	4	2	0		
0	0	ecog_102		0	5	2	0		
0	0	ecog_102		0	6	2	0		
0	0	ecog_102		0	7	2	0		
0	0	ecog_102		0	8	2	0		
0	0	ecog_102		0	9	2	0		
0	0	ecog_102		0	10	2	0		
0	0	ecog_102		0	11	2	0		
0	0	ecog_102		0	12	2	0		
0	0	ecog_102		0	13	2	0		
0	0	ecog_102		0	14	2	0		
0	0	ecog_102		0	15	2	0		
0	0	ecog_102		0	16	2	0		
0	0	ecog_102		0	17	2	0		
0	0	ecog_102		0	18	2	0		
0	0	ecog_102		0	19	2	0		
0	0	ecog_102		0	20	2	0		
0	0	ecog_102		0	21	2	0		
0	0	ecog_102		0	22	2	0		
0	0	ecog_102		0	23	2	0		
0	0	ecog_102		0	24	2	0		
0	0	ecog_102		0	25	2	0		
0	0	ecog_102		0	26	2	0		
0	0	ecog_102		0	27	2	0		
0	0	ecog_102		0	28	2	0		
0	0	ecog_102		0	29	2	0		
0	0	ecog_102		0	30	2	0		
0	0	ecog_102		0	31	2	0		
0	0	ecog_102		0	32	2	0		
0	0	ecog_102		0	33	2	0		
0	0	ecog_102		0	34	2	0		
0	0	ecog_102		0	35	2	0		
0	0	ecog_102		0	36	2	0		
0	0	ecog_102		0	37	2	0		
0	0	ecog_102		0	38	2	0		
0	0	ecog_102		0	39	2	0		
0	0	ecog_102		0	40	2	0		
0	0	ecog_102		0	41	2	0		
0	0	ecog_102		0	42	2	0		
0	0	ecog_102		0	43	2	0		
0	0	ecog_102		0	44	2	0		
0	0	ecog_102		0	45	2	0		
0	0	ecog_102		0	46	2	0		
0	0	ecog_102		0	47	2	0		
0	0	ecog_102		0	48	2	0		
0	0	ecog_102		0	49	2	0		
0	0	ecog_102		0	50	2	0		
0	0	ecog_102		0	51	2	0		
0	0	ecog_102		0	52	2	0		
0	0	ecog_102		0	53	2	0		
0	0	ecog_102		0	54	2	0		
0	0	ecog_102		0	55	2	0		
0	0	ecog_102		0	56	2	0		
0	0	ecog_102		0	57	2	0		
0	0	ecog_102		0	58	2	0		
0	0	ecog_102		0	59	2	0		
0	0	ecog_102		0	60	2	0		
0	0	ecog_102		0	61	2	0		
0	0	ecog_102		0	62	2	0		
0	0	ecog_102		0	63	2	0		
0	0	ecog_102		0	64	2	0		
0	0	ecog_102		0	65	2	0		
0	0	ecog_102		0	66	2	0		
0	0	ecog_102		0	67	2	0		
0	0	ecog_102		0	68	2	0		
0	0	ecog_102		0	69	2	0		
0	0	ecog_102		0	70	2	0		
0	0	ecog_102		0	71	2	0		
0	0	ecog_102		0	72	2	0		
0	0	ecog_102		0	73	2	0		
0	0	ecog_102		0	74	2	0		
0	0	ecog_102		0	75	2	0		
0	0	ecog_102		0	76	2	0		
0	0	ecog_102		0	77	2	0		
0	0	ecog_102		0	78	2	0		
0	0	ecog_102		0	79	2	0		
0	0	ecog_102		0	80	2	0		
0	0	ecog_102		0	81	2	0		
0	0	ecog_102		0	82	2	0		
0	0	ecog_102		0	83	2	0		
0	0	ecog_102		0	84	2	0		
0	0	ecog_102		0	85	2	0		
0	0	ecog_102		0	1	3	0		
0	0	ecog_102		0	2	3	0		
0	0	ecog_102		0	3	3	0		
0	0	ecog_102		0	4	3	0		
0	0	ecog_102		0	5	3	0		
0	0	ecog_102		0	6	3	0		
0	0	ecog_102		0	7	3	0		
0	0	ecog_102		0	8	3	0		
0	0	ecog_102		0	9	3	0		
0	0	ecog_102		0	10	3	0		
0	0	ecog_102		0	11	3	0		
0	0	ecog_102		0	12	3	0		
0	0	ecog_102		0	13	3	0		
0	0	ecog_102		0	14	3	0		
0	0	ecog_102		0	15	3	0		
0	0	ecog_102		0	16	3	0		
0	0	ecog_102		0	17	3	0		
0	0	ecog_102		0	18	3	0		
0	0	ecog_102		0	19	3	0		
0	0	ecog_102		0	20	3	0		
0	0	ecog_102		0	21	3	0		
0	0	ecog_102		0	22	3	0		
0	0	ecog_102		0	23	3	0		
